country,year,count,total_count
USA,1900,27,935
USA,1904,146,935
USA,1908,34,935
USA,1912,45,935
USA,1920,110,935
USA,1924,110,935
USA,1928,43,935
USA,1932,78,935
USA,1936,51,935
USA,1948,83,935
USA,1952,79,935
USA,1956,61,935
USA,1960,68,935
GBR,1900,48,354
GBR,1904,1,354
GBR,1908,144,354
GBR,1912,44,354
GBR,1920,55,354
GBR,1924,17,354
GBR,1928,6,354
GBR,1932,8,354
GBR,1936,12,354
GBR,1948,6,354
GBR,1952,3,354
GBR,1956,8,354
GBR,1960,2,354
SWE,1908,69,308
SWE,1912,86,308
SWE,1920,53,308
SWE,1924,6,308
SWE,1928,7,308
SWE,1932,12,308
SWE,1936,7,308
SWE,1948,29,308
SWE,1952,23,308
SWE,1956,14,308
SWE,1960,2,308
ITA,1900,2,288
ITA,1908,2,288
ITA,1912,18,288
ITA,1920,68,288
ITA,1924,25,288
ITA,1928,18,288
ITA,1932,21,288
ITA,1936,36,288
ITA,1948,20,288
ITA,1952,17,288
ITA,1956,25,288
ITA,1960,36,288
FRA,1900,46,204
FRA,1908,9,204
FRA,1912,10,204
FRA,1920,13,204
FRA,1924,39,204
FRA,1928,7,204
FRA,1932,23,204
FRA,1936,12,204
FRA,1948,25,204
FRA,1952,14,204
FRA,1956,6,204
HUN,1900,1,185
HUN,1904,2,185
HUN,1908,6,185
HUN,1912,10,185
HUN,1924,2,185
HUN,1928,9,185
HUN,1932,20,185
HUN,1936,25,185
HUN,1948,15,185
HUN,1952,52,185
HUN,1956,30,185
HUN,1960,13,185
URS,1952,36,165
URS,1956,68,165
URS,1960,61,165
GER,1900,11,144
GER,1904,4,144
GER,1908,4,144
GER,1912,10,144
GER,1928,20,144
GER,1932,7,144
GER,1936,88,144
NOR,1908,7,138
NOR,1912,41,138
NOR,1920,58,138
NOR,1924,16,138
NOR,1928,4,138
NOR,1936,1,138
NOR,1948,3,138
NOR,1952,5,138
NOR,1956,1,138
NOR,1960,2,138
FIN,1908,1,99
FIN,1912,9,99
FIN,1920,18,99
FIN,1924,24,99
FIN,1928,8,99
FIN,1932,5,99
FIN,1936,7,99
FIN,1948,15,99
FIN,1952,8,99
FIN,1956,3,99
FIN,1960,1,99
IND,1928,15,96
IND,1932,11,96
IND,1936,19,96
IND,1948,20,96
IND,1952,14,96
IND,1956,17,96
BEL,1900,5,83
BEL,1908,1,83
BEL,1912,9,83
BEL,1920,57,83
BEL,1924,3,83
BEL,1948,4,83
BEL,1952,4,83
CAN,1900,1,73
CAN,1904,26,73
CAN,1908,17,73
CAN,1912,3,73
CAN,1920,10,73
CAN,1928,7,73
CAN,1932,2,73
CAN,1936,1,73
CAN,1952,1,73
CAN,1956,5,73
NED,1920,14,61
NED,1924,8,61
NED,1928,20,61
NED,1932,2,61
NED,1936,9,61
NED,1948,8,61
SUI,1900,13,57
SUI,1904,1,57
SUI,1920,6,57
SUI,1924,13,57
SUI,1928,16,57
SUI,1936,1,57
SUI,1948,5,57
SUI,1952,2,57
DEN,1900,1,56
DEN,1912,5,56
DEN,1920,30,56
DEN,1924,2,56
DEN,1928,5,56
DEN,1948,7,56
DEN,1952,3,56
DEN,1956,1,56
DEN,1960,2,56
AUS,1900,2,51
AUS,1924,3,51
AUS,1928,1,51
AUS,1932,3,51
AUS,1948,2,51
AUS,1952,7,51
AUS,1956,23,51
AUS,1960,10,51
EUA,1956,12,46
EUA,1960,34,46
URU,1924,22,44
URU,1928,22,44
TCH,1924,1,39
TCH,1928,2,39
TCH,1932,1,39
TCH,1936,5,39
TCH,1948,14,39
TCH,1952,11,39
TCH,1956,1,39
TCH,1960,4,39
